uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.042359711679777916,0.0255
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.04024663990497857,0.0135
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.030491780961291855,0.0105
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.05958824984730848,0.03
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.0009430804822898938,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.0006884829871635054,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.09721899305844632,0.04
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.0011434176563981002,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.04065542924755458,0.003
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.0004382534784269298,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.00017235159201178514,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.028587781156880283,0.015
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.03706800668432971,0.011
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.7158566576428208,0.671
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.0004200876911908995,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.00064919691423196,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.000763853420897196,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.0003046867033875361,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.0005987215800438298,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.11425093124833202,0.0845
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.016728209926848082,0.0045
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.03727790935828605,0.018
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.10725134339129982,0.056
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.08794146650947686,0.022
