enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts1,B9724848-C7E2-45F4-9B3F-A1F38D864495,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.995493013338051, ""sd_gen"": 0.0491565978237161, ""mu_imp"": 0.6454403754811456, ""sd_imp"": 0.3767589736694349}",180,60,120,1.0,0.0,60,0,60,120,0,0.0,0,180.0,180.0,1.0,,0,0.0,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,instantaneous,"{""theta"": 0.9999035028466661}",180,60,120,0.0,0.0,0,0,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,moving_average,"{""theta"": 0.9999035028466661, ""w"": 10}",180,60,120,0.0,0.9416666666666667,0,113,60,120,3,1.675977653631285,2,45.0,3.5,0.03888888888888889,0.0,113,0.9416666666666667,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,ewma,"{""theta"": 0.9999035028466661, ""alpha"": 0.2}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,majority_vote,"{""theta"": 0.9999035028466661, ""w"": 5, ""k"": 4}",180,60,120,0.016666666666666666,0.025,1,3,60,120,2,1.1173184357541899,0,60.0,61.0,0.6555555555555556,1.0,3,0.025,3.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,debounce,"{""theta"": 0.9999035028466661, ""n"": 2}",180,60,120,0.016666666666666666,0.008333333333333333,1,1,60,120,2,1.1173184357541899,0,60.0,60.0,0.6666666666666666,1.0,1,0.008333333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,margin_dual_threshold,"{""theta"": 0.9999035028466661, ""margin"": 0.05}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,hysteresis,"{""theta"": 0.9999035028466661, ""margin"": 0.05, ""ttt_frames"": 2}",180,60,120,0.016666666666666666,0.5,1,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3388888888888889,1.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,trust_model,"{""theta"": 0.9999035028466661, ""gain"": 0.3, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_tsts2,0BFC35E2-4817-4865-BFA7-764742302A2D,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.995493013338051, ""sd_gen"": 0.0491565978237161, ""mu_imp"": 0.6454403754811456, ""sd_imp"": 0.3767589736694349}",180,60,120,0.0,0.05,0,6,60,120,2,1.1173184357541899,0,60.0,60.0,0.6333333333333333,0.0,6,0.05,6.0
